exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,92,361,0,1,1,3,1.0,91.0,1.0,1.3302402,1.0,0.05558859192225047
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,93,361,0,2,1,3,1.0,92.0,0.0,2.3086698,0.0,0.044712587127241334
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,94,361,0,1,1,3,1.0,93.0,1.0,0.8548954,1.0,0.049363931628254414
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,95,361,0,2,1,3,1.0,94.0,1.0,1.499721,1.0,0.06911010412134794
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,96,361,0,2,0,3,1.0,95.0,1.0,1.0482149,0.0,0.06384951358948564
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,97,361,0,1,0,3,1.0,96.0,1.0,1.0814039,0.0,0.04383629197169139
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,98,361,0,2,1,3,1.0,97.0,0.0,0.9275094,0.0,0.08423671702620264
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,99,361,0,2,0,3,1.0,98.0,0.0,1.0490437,1.0,0.10682017746080334
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,100,361,0,2,0,3,1.0,99.0,0.0,0.6824203,1.0,0.10267419772502775
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,101,361,0,1,0,3,1.0,100.0,0.0,1.1244578,1.0,0.06137134143349693
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,102,361,0,2,1,3,1.0,101.0,0.0,0.8247469,0.0,0.09868913466602672
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,103,361,0,2,1,3,1.0,102.0,0.0,2.871306,0.0,0.1156211405781588
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,104,361,0,1,1,3,1.0,103.0,1.0,2.5784745,1.0,0.05783325689900704
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,105,361,0,1,1,3,1.0,104.0,1.0,2.339869,1.0,0.053431048458755306
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,106,361,0,2,0,3,1.0,105.0,1.0,1.0176808,0.0,0.1354581554882792
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,107,361,0,1,1,3,1.0,106.0,0.0,1.2657217,0.0,0.05035072526884501
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,108,361,0,1,1,3,1.0,107.0,1.0,1.0224828,1.0,0.06137134143349693
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,109,361,0,2,1,3,1.0,108.0,1.0,0.9657445,1.0,0.1555883507852197
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,110,361,0,1,1,3,1.0,109.0,1.0,0.5365902,1.0,0.05898935383537662
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,111,361,0,1,1,3,1.0,110.0,1.0,1.2447613,1.0,0.056699817612524815
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,112,361,0,2,0,3,1.0,111.0,1.0,0.8955783,0.0,0.14954954646180463
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,113,361,0,2,1,3,1.0,112.0,0.0,0.8344189,0.0,0.16840734593483328
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,114,361,0,1,0,3,1.0,113.0,0.0,1.1794872,1.0,0.053431048458755306
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,115,361,0,1,0,3,1.0,114.0,0.0,0.668284,1.0,0.05035072526884501
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,116,361,0,2,0,3,1.0,115.0,0.0,2.3584769,1.0,0.18592636312377486
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,117,361,0,2,0,3,1.0,116.0,0.0,2.5502038,1.0,0.18228250393864812
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,118,361,0,1,0,3,1.0,117.0,0.0,1.5675219,1.0,0.04839647756388463
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,119,361,0,1,0,3,1.0,118.0,0.0,3.2991896,1.0,0.04651807949310431
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,120,361,0,1,1,3,1.0,119.0,0.0,1.2132659,0.0,0.044712587127241334
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,121,361,0,1,0,3,1.0,120.0,1.0,1.1029084,0.0,0.05135724508717292
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,122,361,0,1,1,3,1.0,121.0,0.0,1.5308647,0.0,0.056699817612524815
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,123,361,0,2,1,3,1.0,122.0,0.0,0.6961346,0.0,0.17871005856239663
